"id","name","timestamp","data","register_datetime"
104287,yts,1750116604,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,74.832809,870.768982,2.166791""}",2025-06-16 20:30:07.447 -0300
104387,yts,1750131801,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.121841,862.759766,2.160905""}",2025-06-17 00:43:23.824 -0300
104591,yts,1750162602,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,76.039764,864.710327,2.164663""}",2025-06-17 09:16:44.845 -0300
104291,yts,1750117204,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,80.105888,874.324158,2.166830""}",2025-06-16 20:40:07.592 -0300
104747,yts,1750186199,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.840168,867.980774,2.163931""}",2025-06-17 15:50:01.796 -0300
104391,yts,1750132401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,61.599461,839.719543,2.161104""}",2025-06-17 00:53:23.907 -0300
104595,yts,1750163202,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.365112,875.737732,2.164569""}",2025-06-17 09:26:44.895 -0300
104751,yts,1750186799,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,66.403778,859.441223,2.163931""}",2025-06-17 16:00:02.084 -0300
104295,yts,1750117804,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,74.988136,872.017090,2.166909""}",2025-06-16 20:50:07.440 -0300
104395,yts,1750133001,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.882526,861.978394,2.161304""}",2025-06-17 01:03:23.680 -0300
104599,yts,1750163802,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.075447,864.261108,2.164343""}",2025-06-17 09:36:44.888 -0300
104299,yts,1750118404,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,75.918556,873.921204,2.166981""}",2025-06-16 21:00:07.526 -0300
104755,yts,1750187399,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,63.564346,868.470520,2.163990""}",2025-06-17 16:10:01.966 -0300
104827,yts,1750198395,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,69.041847,869.416199,2.164738""}",2025-06-17 19:13:17.807 -0300
104303,yts,1750119004,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,75.529137,871.865662,2.167049""}",2025-06-16 21:10:07.740 -0300
104399,yts,1750133601,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,51.703377,864.904236,2.161472""}",2025-06-17 01:13:23.990 -0300
104603,yts,1750164402,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,67.798813,863.909668,2.163899""}",2025-06-17 09:46:45.194 -0300
104307,yts,1750119605,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,79.935623,872.677979,2.167100""}",2025-06-16 21:20:07.800 -0300
104607,yts,1750165002,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.250622,873.861877,2.163757""}",2025-06-17 09:56:45.291 -0300
104759,yts,1750187999,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,61.342434,867.832825,2.163935""}",2025-06-17 16:20:02.131 -0300
104403,yts,1750134201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.063400,849.975891,2.161668""}",2025-06-17 01:23:24.072 -0300
104311,yts,1750120204,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,75.868935,874.285706,2.167141""}",2025-06-16 21:30:07.767 -0300
104611,yts,1750165602,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.207832,868.381042,2.163657""}",2025-06-17 10:06:45.119 -0300
104831,yts,1750198995,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,71.858879,873.264465,2.164833""}",2025-06-17 19:23:18.244 -0300
104407,yts,1750134801,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,51.254070,866.600342,2.161820""}",2025-06-17 01:33:24.047 -0300
104315,yts,1750120805,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,79.951210,864.185181,2.167243""}",2025-06-16 21:40:10.389 -0300
104411,yts,1750135401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.903572,867.503418,2.161969""}",2025-06-17 01:43:24.267 -0300
104451,yts,1750141402,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.385773,860.015991,2.162624""}",2025-06-17 03:23:24.805 -0300
104615,yts,1750166202,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,58.129772,867.015503,2.163492""}",2025-06-17 10:16:45.221 -0300
104319,yts,1750121405,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,77.295738,872.285339,2.167269""}",2025-06-16 21:50:07.715 -0300
104415,yts,1750136001,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.165062,868.166138,2.162058""}",2025-06-17 01:53:24.140 -0300
104323,yts,1750122005,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,46.338490,851.822083,2.163380""}",2025-06-16 22:00:07.941 -0300
104455,yts,1750142002,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.775177,868.451111,2.162646""}",2025-06-17 03:33:24.723 -0300
104419,yts,1750136601,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,44.474674,882.973022,2.162187""}",2025-06-17 02:03:23.989 -0300
104327,yts,1750122605,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,36.723896,870.533020,2.156981""}",2025-06-16 22:10:07.954 -0300
104423,yts,1750137201,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.406368,873.287476,2.162344""}",2025-06-17 02:13:24.236 -0300
104459,yts,1750142602,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.222168,866.865173,2.162684""}",2025-06-17 03:43:24.981 -0300
104619,yts,1750166802,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,53.174385,875.085022,2.163420""}",2025-06-17 10:26:45.359 -0300
104331,yts,1750123205,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,42.128277,864.479187,2.157843""}",2025-06-16 22:20:08.037 -0300
104763,yts,1750188599,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,58.550201,873.148560,2.163919""}",2025-06-17 16:30:04.672 -0300
104835,yts,1750199595,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,64.757607,871.008972,2.164860""}",2025-06-17 19:33:18.185 -0300
104623,yts,1750167402,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,55.228153,882.651917,2.163386""}",2025-06-17 10:36:45.175 -0300
104335,yts,1750123805,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,42.744072,872.607605,2.158445""}",2025-06-16 22:30:08.042 -0300
104767,yts,1750189199,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,61.620140,867.277588,2.163947""}",2025-06-17 16:40:04.054 -0300
104839,yts,1750200195,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,66.691582,869.458069,2.164831""}",2025-06-17 19:43:18.279 -0300
104339,yts,1750124405,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,42.211628,867.695068,2.158517""}",2025-06-16 22:40:08.272 -0300
104427,yts,1750137801,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,57.160580,866.887451,2.162417""}",2025-06-17 02:23:24.534 -0300
104627,yts,1750168002,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.123470,869.805054,2.163907""}",2025-06-17 10:46:45.340 -0300
104343,yts,1750125005,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,49.913136,867.717590,2.160619""}",2025-06-16 22:50:08.153 -0300
104463,yts,1750143202,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,56.855194,872.373596,2.162789""}",2025-06-17 03:53:25.146 -0300
103836,yts,1750043315,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,69.102638,866.190186,2.165498""}",2025-06-16 00:08:38.118 -0300
103840,yts,1750043915,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.778168,871.978394,2.165337""}",2025-06-16 00:18:38.311 -0300
103844,yts,1750044515,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,69.716644,872.308044,2.165234""}",2025-06-16 00:28:38.310 -0300
103848,yts,1750045115,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,66.039169,870.585510,2.165283""}",2025-06-16 00:38:38.547 -0300
103852,yts,1750045715,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,68.478508,868.586792,2.165254""}",2025-06-16 00:48:38.457 -0300
103856,yts,1750046315,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,64.786118,872.117371,2.165157""}",2025-06-16 00:58:38.227 -0300
103860,yts,1750046915,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,68.160408,870.289062,2.165156""}",2025-06-16 01:08:38.438 -0300
103864,yts,1750047515,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,71.255753,859.088257,2.165021""}",2025-06-16 01:18:38.544 -0300
103868,yts,1750048328,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,65.472214,870.004883,2.164883""}",2025-06-16 01:32:10.294 -0300
104347,yts,1750125605,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,56.857121,873.063354,2.162398""}",2025-06-16 23:00:08.325 -0300
103872,yts,1750048913,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,52.266827,898.658630,2.157679""}",2025-06-16 01:41:56.090 -0300
103876,yts,1750049514,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,86.052063,904.025757,2.149559""}",2025-06-16 01:51:56.371 -0300
103880,yts,1750050114,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,14.599060,892.905701,2.147476""}",2025-06-16 02:01:56.652 -0300
103884,yts,1750050714,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,18.298607,864.851440,2.146484""}",2025-06-16 02:11:56.574 -0300
103888,yts,1750051313,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,20.325172,906.217163,2.146278""}",2025-06-16 02:21:56.097 -0300
104431,yts,1750138401,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,60.941456,865.393188,2.162389""}",2025-06-17 02:33:24.404 -0300
103892,yts,1750051914,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,80.586891,799.893005,2.146008""}",2025-06-16 02:31:56.563 -0300
103896,yts,1750052514,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,15.387791,926.263428,2.146063""}",2025-06-16 02:41:56.547 -0300
103900,yts,1750053114,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,22.168493,870.585876,2.145950""}",2025-06-16 02:51:56.571 -0300
103904,yts,1750053714,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,29.184740,840.065796,2.145867""}",2025-06-16 03:01:56.593 -0300
103908,yts,1750054314,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,40.326767,940.470337,2.145484""}",2025-06-16 03:11:56.616 -0300
103912,yts,1750054914,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,20.643093,830.623901,2.145500""}",2025-06-16 03:21:56.371 -0300
103916,yts,1750055514,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,23.707132,846.770264,2.145705""}",2025-06-16 03:31:56.587 -0300
103920,yts,1750056114,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,47.543758,845.278931,2.145583""}",2025-06-16 03:41:56.916 -0300
103924,yts,1750056714,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,16.820324,845.237610,2.145637""}",2025-06-16 03:51:57.610 -0300
103928,yts,1750057314,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,29.127275,808.556396,2.145674""}",2025-06-16 04:01:56.916 -0300
104351,yts,1750126415,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.665054,868.190430,2.163989""}",2025-06-16 23:13:38.029 -0300
104467,yts,1750143802,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,62.971413,862.538208,2.162876""}",2025-06-17 04:03:24.945 -0300
104631,yts,1750168602,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,70.838173,867.918457,2.164468""}",2025-06-17 10:56:45.651 -0300
104771,yts,1750189799,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,66.803116,866.331360,2.163975""}",2025-06-17 16:50:02.428 -0300
103932,yts,1750057914,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,19.654079,870.345947,2.145625""}",2025-06-16 04:11:57.086 -0300
103936,yts,1750058514,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,54.851654,769.799255,2.145737""}",2025-06-16 04:21:56.898 -0300
103940,yts,1750059114,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,31.639832,873.272095,2.145690""}",2025-06-16 04:31:57.152 -0300
103944,yts,1750059714,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,18.287685,859.807983,2.145510""}",2025-06-16 04:41:57.333 -0300
103948,yts,1750060314,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,27.035519,832.244263,2.145557""}",2025-06-16 04:51:57.247 -0300
103952,yts,1750060914,"{""error"": 0, ""result"": ""100.000000,1.000000,1278.381958,19.823357,846.492615,2.145471""}",2025-06-16 05:01:57.370 -0300
